file,title,meta_description,h1,missing_alt,internal_links,word_count
./oto-galeri-kdv-hesaplama.html,2. El Araç KDV Hesaplama | SMMM Adem Yılmaz,"Oto galericiler için özel matrah ve tam bedel esasına göre interaktif KDV ve fatura hesaplama aracı. Araç cinsini seçin, tutarları girin, faturanızı hazırlayın.",2. El Araç KDV & Fatura Hesaplama,0,8,390
./gmsi2025.html,Mart 2026 Gelir Vergisi Beyan Rehberi | SMMM Adem Yılmaz,"2025 yılı gelirlerinin Mart 2026'da beyanı: kira, gayrimenkul değer artış kazancı, menkul kıymet ve ücret gelirlerinde beyan sınırları.",Mart 2026 Yıllık Gelir Vergisi Beyan Rehberi,0,8,679
./oto-galeri-yetki-belgesi.html,Oto Galeri Yetki Belgesi ve Özel Matrah | SMMM Adem Yılmaz,"Oto galeri yetki belgesi, mesleki şartlar ve özel matrahlı araç satışı hakkında genel çerçeve.",Oto Galeri Yetki Belgesi ve Özel Matrahlı Araç Satışı,0,8,334
./sirket-kurulus-hizmetleri.html,Şahıs Şirketi Kurulum Rehberi | SMMM Adem Yılmaz,,,0,0,16
./toptanci-muhasebesi.html,Toptancı Muhasebesi ve Açılışı | SMMM Adem Yılmaz,"Toptan ticarette e-fatura ciro eşiği, iskonto faturaları, sevk irsaliyesi ve stok değerleme. Toptancılar için muhasebe rehberi ve danışmanlık.",Toptan Ticaret İşletmeleri için Muhasebe Rehberi,0,8,420
./elektronik-beyaz-esya-muhasebesi.html,Beyaz Eşya Mağazası Muhasebesi | SMMM Adem Yılmaz,"Elektronik ve beyaz eşya mağazası açılışında KDV oranı, taksitli satış ve yetkili servis-garanti muhasebesi. Ücretsiz ilk görüşme.",Elektronik ve Beyaz Eşya Mağazaları için Muhasebe Rehberi,0,8,381
./kirtasiye-muhasebesi.html,Kırtasiye Mağazası Muhasebesi | SMMM Adem Yılmaz,"Kırtasiye açılışında karma KDV oranları, sezonluk stok yönetimi ve okul toplu sipariş faturalandırması. Ücretsiz ilk görüşme.",Kırtasiye Mağazaları için Muhasebe Rehberi,0,8,422
./esenkent-mahallesi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./kooperatif.html,Kooperatif Kuruluşu Rehberi | SMMM Adem Yılmaz,"Konut, işyeri, üretim ve işletme kooperatiflerinin kuruluş süreci, ortaklık yapısı, sermaye, vergi ve muhasebe yükümlülükleri hakkında pratik rehber.",Kooperatif Kuruluşu Rehberi,0,8,868
./huzur-mahallesi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./kdv-iade-rehberi.html,KDV İade Rehberi | SMMM Adem Yılmaz,"İhracat ve indirimli oranlı teslimlerde biriken devreden KDV'nin mahsup, nakden iade ve devreden KDV olarak değerlendirilmesi; iade türleri ve şartları.",KDV İade ve Mahsup Süreçlerine Genel Bakış,0,8,260
./e-ticaret-muhasebesi.html,E-Ticaret Muhasebesi | SMMM Adem Yılmaz,E-ticaret işletmeleri için temel muhasebe ve komisyon takibi başlıkları.,E-Ticaret Yapan İşletmelerde Muhasebe Yapısı,0,8,246
./musavirumraniye.html,SMMM Adem Yılmaz — Ümraniye Mali Müşavir,,,0,0,17
./sile-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./sskbagkur.html,Şirket Ortaklarında Sigortalılık Statüsü,"A.Ş., Ltd. Şti. ve şahıs şirketi ortaklarının 5510 sayılı Kanun'a göre SGK sigortalılık statüsü ve kendi şirketinde sigortalılık yasağı değerlendirmesi.",Şirket Ortaklarında Sigortalılık Statüsü,0,9,659
./2025-vergi-takvimi.html,2025 Vergi Takvimi ve Önemli Tarihler | SMMM Adem Yılmaz,"2025 vergi takvimi, geçici vergi, KDV, muhtasar, kurumlar ve gelir vergisi beyannameleri için temel tarihlerin özeti.",2025 Vergi Takvimi ve Önemli Tarihler,0,8,769
./sultangazi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./galeri-yetki-belgesi-ozel-matrahli-arac-satisi.html,Oto Galeri Yetki Belgesi ve Özel Matrah | SMMM Adem Yılmaz,"Oto galeri yetki belgesi, özel matrahlı araç satışında KDV uygulaması, noter süreçleri ve vergi yükümlülükleri hakkında detaylı rehber.",Oto Galeri Yetki Belgesi ve Özel Matrahlı Araç Satışı,0,8,601
./vergiacilis.html,Yeni Mükellef Rehberi: Şirket Açılışı | SMMM Adem Yılmaz,"Şahıs firması, ticari işletme veya limited/anonim şirket açarken fatura düzeni, vergi yükümlülükleri ve dikkat edilmesi gereken kritik kurallar.",Yeni Bir İşletme mi Açıyorsunuz? Önce Bunları Bilin,0,8,1136
./vergi-takvimi-2025.html,2025 Vergi Takvimi | SMMM Adem Yılmaz,,,0,0,14
./eticaret1.html,Adem Yılmaz | Serbest Muhasebeci Mali Müşavir (SMMM),"Şirket kuruluşundan e-dönüşüm süreçlerine, e-ticaret muhasebesinden vergi danışmanlığına kadar güvenilir ve şeffaf mali müşavirlik hizmeti.",İşletmeniz İçin Güvenilir ve Şeffaf Mali Müşavirlik,0,8,572
./2025-enflasyon-duzeltmesi.html,2025 Enflasyon Düzeltmesi Rehberi | SMMM Adem Yılmaz,"2025 yılında enflasyon düzeltmesi, geçici vergi dönemleri ve bilançoya etkileri hakkında genel bilgilendirme.",2025 Enflasyon Düzeltmesi ve Enflasyon Muhasebesi,0,8,675
./cekmekoy-mali-musavir.html,Çekmeköy Mali Müşavir | SMMM Adem Yılmaz,"Çekmeköy'de mali müşavirlik, yeni şirket kuruluşu ve muhasebe hizmeti. Hızla büyüyen Çekmeköy'deki KOBİ ve aile işletmelerine online destek.",Çekmeköy'de Yeni Kurulan İşletmeler için Mali Müşavirlik,0,8,487
./tekstil-konfeksiyon-muhasebesi.html,Tekstil ve Konfeksiyon Muhasebesi | SMMM Adem Yılmaz,"Tekstil ve konfeksiyon firmaları için KDV oranı, dahilde işleme rejimi, ihracat istisnası ve fason üretim faturalandırması. Ücretsiz ilk görüşme.",Tekstil ve Konfeksiyon Firmaları için Muhasebe Rehberi,0,8,411
./silivri-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./uskudar-mali-musavir.html,Üsküdar Mali Müşavir | SMMM Adem Yılmaz,"Üsküdar'da mali müşavirlik, şahıs işletmesi ve esnaf muhasebesi. Altunizade, Çengelköy, Bulgurlu ve tüm Üsküdar mahallelerine online hizmet.","Üsküdar'da Mali Müşavirlik, Muhasebe ve Vergi Danışmanlığı",0,8,496
./eyt-erken-emeklilik.html,EYT ve Erken Emeklilik Danışmanlığı | SMMM Adem Yılmaz,"EYT, prim günleri, yaş şartı ve emeklilik planlaması hakkında mali müşavir bakışıyla özet bilgiler.",EYT ve Erken Emeklilik Rehberi,0,8,429
./umraniye-mali-musavir.html,SMMM Adem Yılmaz — Ümraniye Mali Müşavir,,,0,0,17
./tantavi-mahallesi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
